country,pdf_name,path,link
United States of America,National-Cyber-Strategy.pdf,United_States_of_America/National-Cyber-Strategy.pdf,https://trumpwhitehouse.archives.gov/wp-content/uploads/2018/09/National-Cyber-Strategy.pdf
South Africa,public_service_vacancy_circular_29_of_2023-nat.pdf,South_Africa/public_service_vacancy_circular_29_of_2023-nat.pdf,https://www.gov.za/sites/default/files/speech_docs/public_service_vacancy_circular_29_of_2023-nat.pdf
South Africa,public_service_vacancy_circular_29_of_2023-kzn.pdf,South_Africa/public_service_vacancy_circular_29_of_2023-kzn.pdf,https://www.gov.za/sites/default/files/speech_docs/public_service_vacancy_circular_29_of_2023-kzn.pdf
Philippines,Cybersecurity-in-the-Philippines-Global-Context-and-Local-Challenges-.pdf,Philippines/Cybersecurity-in-the-Philippines-Global-Context-and-Local-Challenges-.pdf,https://asiafoundation.org/wp-content/uploads/2022/03/Cybersecurity-in-the-Philippines-Global-Context-and-Local-Challenges-.pdf
Hong Kong,paper-no-49-cybersecurity-strategy-for-hong-kong-s-financial-services-industry-eng-7-6-2021.pdf,Hong_Kong/paper-no-49-cybersecurity-strategy-for-hong-kong-s-financial-services-industry-eng-7-6-2021.pdf,https://www.fsdc.org.hk/media/zrpfyssr/paper-no-49-cybersecurity-strategy-for-hong-kong-s-financial-services-industry-eng-7-6-2021.pdf
Singapore,PR170217_Cybersecurity-in-Singapore.pdf,Singapore/PR170217_Cybersecurity-in-Singapore.pdf,https://www.rsis.edu.sg/wp-content/uploads/2016/12/PR170217_Cybersecurity-in-Singapore.pdf
Singapore,the-singapore-cybersecurity-strategy-2021.pdf,Singapore/the-singapore-cybersecurity-strategy-2021.pdf,https://www.csa.gov.sg/docs/default-source/csa/documents/publications/the-singapore-cybersecurity-strategy-2021.pdf?sfvrsn=809ced95_0
Switzerland,Nationale-Cyberstrategie-NCS-2023-04-13-EN.pdf,Switzerland/Nationale-Cyberstrategie-NCS-2023-04-13-EN.pdf,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/strategie/cyberstrategie-ncs/Nationale-Cyberstrategie-NCS-2023-04-13-EN.pdf.download.pdf/Nationale-Cyberstrategie-NCS-2023-04-13-EN.pdf
Switzerland,76796.pdf,Switzerland/76796.pdf,https://www.newsd.admin.ch/newsd/message/attachments/76796.pdf
Switzerland,Nationale_Strategie_Schutz_Schweiz_vor_Cyber-Risiken_NCS_2018-22_EN.pdf,Switzerland/Nationale_Strategie_Schutz_Schweiz_vor_Cyber-Risiken_NCS_2018-22_EN.pdf,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/strategie/Nationale_Strategie_Schutz_Schweiz_vor_Cyber-Risiken_NCS_2018-22_EN.pdf.download.pdf/Nationale_Strategie_Schutz_Schweiz_vor_Cyber-Risiken_NCS_2018-22_EN.pdf
Switzerland,Umsetzungsplan_NCS_2018-2022_EN.pdf,Switzerland/Umsetzungsplan_NCS_2018-2022_EN.pdf,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/strategie/Umsetzungsplan_NCS_2018-2022_EN.pdf.download.pdf/Umsetzungsplan_NCS_2018-2022_EN.pdf
Switzerland,Strategie_zum_Schutz_der_Schweiz_vor_Cyber-Risiken_k-ENGL.pdf,Switzerland/Strategie_zum_Schutz_der_Schweiz_vor_Cyber-Risiken_k-ENGL.pdf,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/strategie/Strategie%20zum%20Schutz%20der%20Schweiz%20vor%20Cyber-Risiken.pdf.download.pdf/Strategie_zum_Schutz_der_Schweiz_vor_Cyber-Risiken_k-ENGL.pdf
Switzerland,NCS-Jahresbericht-2016-en.pdf,Switzerland/NCS-Jahresbericht-2016-en.pdf,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/strategie/NCS-Jahresbericht-2016-en.pdf.download.pdf/NCS-Jahresbericht-2016-en.pdf
